Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets,Goal Difference,Result,Result_Code,Opponent_Code,Goals For_Rolling_5,Goals Against_Rolling_5,Goal Difference_Rolling_5,Possession_Rolling_5,Expected Goals (xG)_Rolling_5,Expected Goals Against (xGA)_Rolling_5,Interceptions_Rolling_5,Clearances_Rolling_5,Errors_Rolling_5,Days Since Last Match
2023-08-13,Away,Chelsea,1,1,1.3,1.4,35,10,8,2,10,39,0,0,0,0,Draw,0,6,1.0,1.0,0.0,35.0,1.3,1.4,10.0,39.0,0.0,0.0
2023-08-19,Home,Bournemouth,3,1,3.0,1.3,64,15,10,0,11,15,1,1,0,2,Win,1,2,2.0,1.0,1.0,49.5,2.15,1.35,10.5,27.0,0.5,6.0
2023-08-27,Away,Newcastle Utd,2,1,0.9,2.0,41,7,6,0,8,19,1,0,0,1,Win,1,13,2.0,1.0,1.0,46.666666666666664,1.7333333333333334,1.5666666666666667,9.666666666666666,24.333333333333332,0.6666666666666666,8.0
2023-09-03,Home,Aston Villa,3,0,2.5,0.7,63,13,9,1,8,11,2,1,1,3,Win,1,1,2.25,0.75,1.5,50.75,1.9249999999999998,1.35,9.25,21.0,1.0,7.0
2023-09-16,Away,Wolves,3,1,2.5,0.6,65,13,13,4,9,20,0,0,0,2,Win,1,18,2.4,0.8,1.6,53.6,2.04,1.2,9.2,20.8,0.8,13.0
2023-09-24,Home,West Ham,3,1,3.0,1.1,63,18,10,0,9,20,0,1,0,2,Win,1,17,2.8,0.8,2.0,59.2,2.38,1.14,9.0,17.0,0.8,8.0
2023-09-30,Away,Tottenham,1,2,1.3,2.2,36,10,7,2,6,24,0,0,0,-1,Loss,-1,16,2.4,1.0,1.4,53.6,2.04,1.3199999999999998,8.0,18.8,0.6,6.0
2023-10-08,Away,Brighton,2,2,2.3,2.3,54,11,15,2,11,19,1,0,0,0,Draw,0,4,2.4,1.2,1.2,56.2,2.3200000000000003,1.3800000000000001,8.6,18.8,0.6,8.0
2023-10-21,Home,Everton,2,0,2.2,0.1,77,19,14,1,7,14,0,1,1,2,Win,1,8,2.2,1.2,1.0,59.0,2.2600000000000002,1.2600000000000002,8.4,19.4,0.2,13.0
2023-10-29,Home,Nott'ham Forest,3,0,3.2,0.4,72,13,11,2,4,11,0,1,1,3,Win,1,14,2.2,1.0,1.2,60.4,2.4,1.22,7.4,17.6,0.2,8.0
2023-11-05,Away,Luton Town,1,1,2.6,0.8,73,20,20,5,7,15,0,0,0,0,Draw,0,10,1.8,1.0,0.8,62.4,2.3200000000000003,1.1600000000000001,7.0,16.6,0.2,7.0
2023-11-12,Home,Brentford,3,0,1.7,1.6,58,13,12,1,5,18,1,1,1,3,Win,1,3,2.2,0.6,1.6,66.8,2.4,1.04,6.8,15.4,0.4,7.0
2023-11-25,Away,Manchester City,1,1,0.6,1.3,41,7,8,1,5,22,1,0,0,0,Draw,0,11,2.0,0.4,1.6,64.2,2.0599999999999996,0.8400000000000001,5.6,16.0,0.4,13.0
2023-12-03,Home,Fulham,4,3,2.1,1.2,61,17,15,0,13,13,1,1,0,1,Win,1,9,2.4,1.0,1.4,61.0,2.04,1.06,6.8,15.8,0.6,8.0
2023-12-06,Away,Sheffield Utd,2,0,1.7,1.0,75,14,14,4,11,17,1,0,1,2,Win,1,15,2.2,1.0,1.2,61.6,1.7399999999999998,1.1800000000000002,8.2,17.0,0.8,3.0
2023-12-09,Away,Crystal Palace,2,1,1.2,1.7,76,13,15,1,5,22,0,0,0,1,Win,1,7,2.4,1.0,1.4,62.2,1.4600000000000002,1.36,7.8,18.4,0.8,3.0
2023-12-17,Home,Manchester Utd,0,0,2.3,0.8,68,29,15,2,8,5,0,1,1,0,Draw,0,12,1.8,1.0,0.8,64.2,1.58,1.2,8.4,15.8,0.6,8.0
2023-12-23,Home,Arsenal,1,1,1.0,0.7,52,12,8,1,5,18,0,1,0,0,Draw,0,0,1.8,1.0,0.8,66.4,1.6599999999999997,1.08,8.4,15.0,0.4,6.0
2023-12-26,Away,Burnley,2,0,1.8,0.8,68,15,18,2,6,10,1,0,1,2,Win,1,5,1.4,0.4,1.0,67.8,1.6,1.0,7.0,14.4,0.4,3.0
2024-01-01,Home,Newcastle Utd,4,2,7.0,0.6,61,23,16,6,11,1,0,1,0,2,Win,1,13,1.8,0.8,1.0,65.0,2.66,0.9199999999999999,7.0,11.2,0.2,6.0
2024-01-21,Away,Bournemouth,4,0,1.5,1.4,60,12,11,2,8,27,0,0,1,4,Win,1,2,2.2,0.6,1.6,61.8,2.72,0.86,7.6,12.2,0.2,20.0
